country,year,id,gdpgrowth,socspend,ma_socspend,ma_pratio9050s,ma_pratio5010s,ma_pratio9010s,ma_skews,ma_dreher,ma_pop65,ma_stdpjoint,ma_stddisp_gall,ma_fempar,ma_unempl,ma_union,ma_turnout,ma_pvoc,ma_fpop,socspend_lag,time,hh_kind,hh_cash,fambenefits,incapacity,pubspending_labor,public_unemp,fambenefits_lag,incapacity_lag,pubspendinglbr_lag,pubunemplag
Australia,1970,1,4.63521862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.292179585,3.476081848,0.75,1.756999969,0.699999988,0.504999995,NA,NA,NA,NA
Australia,1971,1,4.672402859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.763654232,3.66964221,0.428000003,1.766000032,0.670000017,0.301999986,0.75,1.756999969,0.699999988,0.504999995
Australia,1972,1,3.946801186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.059414864,4.152005672,1.226999998,2.717000008,2.200000048,1.251999974,0.428000003,1.766000032,0.670000017,0.301999986
Australia,1973,1,2.663461208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7.162653446,4.177108288,0.477999985,1.340000033,1.820000052,1.309999943,1.226999998,2.717000008,2.200000048,1.251999974
Australia,1974,1,4.039265633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.308851242,5.035071373,0.628000021,2.539000034,2.109999895,1.131000042,0.477999985,1.340000033,1.820000052,1.309999943
Australia,1975,1,1.196361423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9.474481583,5.76953125,2.063999891,2.210999966,2.579999924,0.398000002,0.628000021,2.539000034,2.109999895,1.131000042
Australia,1976,1,2.704367876,NA,1.659999967,1.659999967,1.659999967,1.659999967,1.659999967,1.659999967,1.659999967,1.659999967,1.549999952,1.549999952,1.549999952,1.549999952,1.549999952,1.549999952,1.549999952,NA,7,9.208745003,6.596564293,0.47299999,1.254999995,2.200000048,1.386000037,2.063999891,2.210999966,2.579999924,0.398000002
Australia,1977,1,3.462548018,NA,1.654999971,1.654999971,1.654999971,1.654999971,1.654999971,1.654999971,1.654999971,1.654999971,1.600000024,1.574999988,1.574999988,1.574999988,1.574999988,1.574999988,1.574999988,NA,8,9.296139717,7.045274734,2.086999893,2.173000097,2.109999895,0.754000008,0.47299999,1.254999995,2.200000048,1.386000037
Australia,1978,1,0.896840572,NA,1.646666646,1.646666646,1.646666646,1.646666646,1.646666646,1.646666646,1.646666646,1.646666646,1.570000052,1.585000038,1.573333343,1.573333343,1.573333343,1.573333343,1.573333343,NA,9,9.074039459,6.76040411,2.066999912,3.963999987,2.160000086,1.309999943,2.086999893,2.173000097,2.109999895,0.754000008
Australia,1979,1,4.190425396,NA,1.643333316,1.647499979,1.647499979,1.647499979,1.647499979,1.647499979,1.647499979,1.647499979,1.629999995,1.600000024,1.600000024,1.587500006,1.587500006,1.587500006,1.587500006,NA,10,8.860033989,6.455093384,2.155999899,5.860000134,2.299999952,1.407999992,2.066999912,3.963999987,2.160000086,1.309999943
Australia,1980,1,3.135629892,7.472631454,1.649999976,1.649999976,1.651999974,1.651999974,1.651999974,1.651999974,1.651999974,1.651999974,1.639999986,1.63499999,1.613333344,1.610000014,1.598000002,1.598000002,1.598000002,NA,11,9.209427834,6.364682198,0.944999993,0.916999996,1.350000024,0.654999971,2.155999899,5.860000134,2.299999952,1.407999992
Australia,1981,1,3.384526253,7.320429802,1.673333327,1.662499994,1.65999999,1.659999986,1.659999986,1.659999986,1.659999986,1.659999986,1.669999957,1.654999971,1.646666646,1.627499998,1.622000003,1.609999994,1.609999994,7.472631454,12,9.14677906,6.353021622,0.985000014,0.885999978,1.399999976,0.698000014,0.944999993,0.916999996,1.350000024,0.654999971
Australia,1982,1,3.171563625,8.196454048,1.693333348,1.682500005,1.672000003,1.668333332,1.667142851,1.667142851,1.667142851,1.667142851,1.679999948,1.674999952,1.663333297,1.654999971,1.637999988,1.63166666,1.619999988,7.320429802,13,9.486013412,7.232827663,1.164999962,0.950999975,2.519999981,1.190000057,0.985000014,0.885999978,1.399999976,0.698000014
